task_id_list	courier_id	total_score	willingness
T0000	C000	35.613	0.0840
T0000	C001	33.333	0.2006
T0000	C002	38.490	0.1739
T0000	C003	34.676	0.1711
T0000	C004	38.672	0.1658
T0000	C005	38.421	0.2081
T0000	C006	38.213	0.1170
T0000	C007	32.249	0.1979
T0000	C008	35.265	0.1691
T0000	C009	29.491	0.1257
T0000	C010	25.686	0.1867
T0000	C011	16.945	0.2614
T0000	C012	36.735	0.1853
T0000	C013	36.179	0.2152
T0000	C014	48.321	0.2335
T0000	C015	37.143	0.0901
T0000	C016	43.802	0.2312
T0000	C017	54.281	0.1593
T0000	C018	34.148	0.1118
T0000	C019	41.765	0.0959
T0000	C020	40.473	0.1928
T0000	C021	36.371	0.1390
T0000	C022	36.809	0.1243
T0000	C023	30.515	0.1369
T0000	C024	52.959	0.1725
T0000	C025	62.160	0.2107
T0000	C026	37.959	0.1126
T0000	C027	24.669	0.1882
T0000	C028	43.769	0.1731
T0000	C029	47.656	0.2154
T0000	C030	35.901	0.1253
T0000	C031	30.440	0.1926
T0000	C032	58.558	0.0960
T0000	C033	44.816	0.1184
T0000	C034	37.822	0.1374
T0000	C035	37.008	0.1742
T0000	C036	31.245	0.1888
T0000	C037	35.094	0.2447
T0000	C038	45.216	0.0674
T0000	C039	39.020	0.2062
T0000	C040	53.726	0.1364
T0000	C041	47.660	0.1693
T0000	C042	41.858	0.1301
T0000	C043	14.173	0.2038
T0000	C044	37.779	0.1982
T0000	C045	31.276	0.1192
T0000	C046	42.133	0.1168
T0000	C047	44.135	0.1507
T0000	C048	36.375	0.1346
T0000	C049	44.382	0.1639
T0000	C050	38.750	0.2240
T0000	C051	25.563	0.1776
T0000	C052	42.576	0.0883
T0000	C053	47.366	0.1569
T0000	C054	32.302	0.2321
T0000	C055	33.700	0.1256
T0000	C056	50.241	0.0997
T0000	C057	45.832	0.1718
T0000	C058	30.921	0.1964
T0000	C059	42.723	0.2148
T0000	C060	40.155	0.2473
T0000	C061	51.299	0.1988
T0000	C062	57.920	0.1329
T0000	C063	29.838	0.2219
T0000	C064	55.677	0.1923
T0000	C065	36.772	0.2044
T0000	C066	27.591	0.2071
T0000	C067	26.438	0.1555
T0000	C068	33.717	0.2400
T0000	C069	49.039	0.0839
T0001	C000	47.363	0.1387
T0001	C001	49.615	0.1140
T0001	C002	45.779	0.2440
T0001	C003	52.103	0.1269
T0001	C004	52.242	0.1978
T0001	C005	50.451	0.1194
T0001	C006	75.248	0.1054
T0001	C007	50.289	0.1724
T0001	C008	54.159	0.0912
T0001	C009	36.891	0.2067
T0001	C010	33.478	0.1998
T0001	C011	34.038	0.1499
T0001	C012	44.814	0.2079
T0001	C013	49.773	0.1104
T0001	C014	66.535	0.2214
T0001	C015	52.067	0.1026
T0001	C016	47.870	0.0774
T0001	C017	79.403	0.1256
T0001	C018	51.832	0.0789
T0001	C019	48.763	0.1338
T0001	C020	62.497	0.1792
T0001	C021	62.074	0.1858
T0001	C022	41.383	0.1745
T0001	C023	45.152	0.1622
T0001	C024	76.486	0.1207
T0001	C025	80.213	0.2351
T0001	C026	50.707	0.1650
T0001	C027	55.105	0.1167
T0001	C028	63.748	0.1524
T0001	C029	71.233	0.0921
T0001	C030	59.153	0.1285
T0001	C031	50.783	0.1866
T0001	C032	74.401	0.1640
T0001	C033	43.590	0.2283
T0001	C034	52.709	0.1701
T0001	C035	62.920	0.1931
T0001	C036	41.664	0.1758
T0001	C037	61.313	0.1710
T0001	C038	53.011	0.1323
T0001	C039	40.169	0.2107
T0001	C040	67.529	0.1400
T0001	C041	62.820	0.1209
T0001	C042	62.511	0.2090
T0001	C043	43.569	0.2375
T0001	C044	47.118	0.1329
T0001	C045	50.331	0.1637
T0001	C046	52.315	0.1469
T0001	C047	55.604	0.2029
T0001	C048	50.146	0.1282
T0001	C049	55.519	0.1669
T0001	C050	53.014	0.1721
T0001	C051	50.038	0.1825
T0001	C052	68.498	0.0759
T0001	C053	51.901	0.0814
T0001	C054	64.502	0.1654
T0001	C055	40.894	0.2415
T0001	C056	62.462	0.1253
T0001	C057	83.944	0.2250
T0001	C058	61.355	0.1399
T0001	C059	55.076	0.1477
T0001	C060	42.943	0.1731
T0001	C061	69.111	0.2577
T0001	C062	55.091	0.0835
T0001	C063	31.137	0.1949
T0001	C064	66.200	0.1590
T0001	C065	60.077	0.1805
T0001	C066	53.830	0.1166
T0001	C067	41.141	0.1514
T0001	C068	46.084	0.0958
T0001	C069	55.689	0.1294
T0002	C000	38.739	0.1822
T0002	C001	31.820	0.1702
T0002	C002	30.333	0.2362
T0002	C003	36.695	0.0860
T0002	C004	33.110	0.1211
T0002	C005	45.329	0.1345
T0002	C006	56.242	0.1546
T0002	C007	41.473	0.2502
T0002	C008	20.633	0.1659
T0002	C009	35.201	0.1805
T0002	C010	18.432	0.2502
T0002	C011	23.732	0.2212
T0002	C012	51.670	0.1583
T0002	C013	27.934	0.1860
T0002	C014	37.719	0.1352
T0002	C015	55.448	0.2017
T0002	C016	38.890	0.1901
T0002	C017	69.425	0.1400
T0002	C018	20.121	0.1124
T0002	C019	46.348	0.0923
T0002	C020	45.079	0.1457
T0002	C021	47.741	0.2340
T0002	C022	33.247	0.1911
T0002	C023	45.968	0.1180
T0002	C024	57.075	0.1196
T0002	C025	56.125	0.1606
T0002	C026	39.127	0.1885
T0002	C027	39.599	0.1209
T0002	C028	56.487	0.1490
T0002	C029	49.523	0.0719
T0002	C030	44.652	0.1198
T0002	C031	32.372	0.1354
T0002	C032	61.103	0.1700
T0002	C033	37.298	0.1494
T0002	C034	50.485	0.2161
T0002	C035	43.793	0.1713
T0002	C036	26.035	0.2308
T0002	C037	43.975	0.1759
T0002	C038	36.252	0.2560
T0002	C039	42.789	0.1403
T0002	C040	50.695	0.1468
T0002	C041	38.917	0.1026
T0002	C042	44.752	0.1519
T0002	C043	7.273	0.2253
T0002	C044	46.871	0.0951
T0002	C045	22.904	0.2161
T0002	C046	38.794	0.1458
T0002	C047	37.828	0.2563
T0002	C048	50.709	0.1577
T0002	C049	54.286	0.1753
T0002	C050	43.929	0.1559
T0002	C051	45.669	0.1614
T0002	C052	46.376	0.1381
T0002	C053	42.189	0.1207
T0002	C054	39.665	0.1384
T0002	C055	30.608	0.2410
T0002	C056	52.358	0.1673
T0002	C057	53.686	0.1253
T0002	C058	44.673	0.0893
T0002	C059	52.711	0.1272
T0002	C060	29.760	0.2329
T0002	C061	49.434	0.2177
T0002	C062	49.160	0.1454
T0002	C063	44.854	0.1594
T0002	C064	69.154	0.1274
T0002	C065	37.398	0.1898
T0002	C066	50.131	0.1586
T0002	C067	35.701	0.1751
T0002	C068	35.711	0.1940
T0002	C069	48.676	0.1200
T0003	C000	48.559	0.0887
T0003	C001	35.593	0.1355
T0003	C002	41.787	0.1748
T0003	C003	58.643	0.1522
T0003	C004	47.364	0.1340
T0003	C005	52.503	0.1569
T0003	C006	63.918	0.0722
T0003	C007	55.121	0.1646
T0003	C008	38.229	0.1211
T0003	C009	31.353	0.1962
T0003	C010	27.868	0.1977
T0003	C011	23.385	0.1620
T0003	C012	43.275	0.2054
T0003	C013	61.303	0.1352
T0003	C014	56.395	0.1838
T0003	C015	57.481	0.1993
T0003	C016	43.270	0.2618
T0003	C017	77.204	0.0871
T0003	C018	45.727	0.1224
T0003	C019	48.809	0.0905
T0003	C020	39.713	0.2257
T0003	C021	51.129	0.1581
T0003	C022	60.582	0.0830
T0003	C023	52.305	0.2183
T0003	C024	57.253	0.2122
T0003	C025	64.956	0.1512
T0003	C026	59.256	0.0900
T0003	C027	49.833	0.1934
